Open,High,Low,Close,Volume,Quote asset volume,Number of trades,Taker buy base asset volume,Taker buy quote asset volume
0.0048119283913976,0.0,0.0124095068510072,0.0048987967033333,0.0368816408259355,0.0359991987461219,0.0590421729807005,0.0197464690404934,0.0194349378286142
0.0049280430580509,0.0036638816600458,0.0075625803524168,0.0,0.0468074353193777,0.0457111907320631,0.0909220872051465,0.0619929780912467,0.0610245792317601
0.0,0.0007635940282142,0.0,0.0086289484233503,0.0895227213441294,0.0874733117785733,0.1528234453180843,0.1271577965722669,0.1251562566449995
0.0086744486260919,0.0021264210382128,0.0114538716973839,0.0099810434912583,0.0555954524887492,0.0543127135624226,0.0428877769835596,0.0368613443360827,0.0362841630354911
0.0100336732533286,0.0022394192576342,0.0099551057729954,0.010093151876287,0.0157650877870827,0.0153421273439331,0.0620443173695496,0.0222115335954257,0.021861868448414
0.0101497879199747,0.0099609642514728,0.0177789389012268,0.0164833298228685,0.0306120463821547,0.0298824053035343,0.0636168691922802,0.0708410848706284,0.0697636373188761
0.0165702459581851,0.0179461717572912,0.0220827346290519,0.0143464760597602,0.0529998391338918,0.0518026603432679,0.2027162258756254,0.0600058739387008,0.0591005371543378
0.0143060099585383,0.0099609642514728,0.0182739441606578,0.0177572887436383,0.0839999305493525,0.0821315171115406,0.087205146533238,0.05528898870067,0.0544459690024876
0.017847507291318,0.0327455143131061,0.0255305837624533,0.0388642401429564,0.1117873019532157,0.1093937329283631,0.2664760543245175,0.1133488501051296,0.1116960285394257
0.0390691701899506,0.0511916175866318,0.0468914357215055,0.0520998240238057,0.2460222246255679,0.2410135940481265,0.1448177269478198,0.4446489413285223,0.4384620062162356
0.0523745449329595,0.0561121764141887,0.0602840780183271,0.0635416737442184,0.4777700401203001,0.4682694634876874,0.1359542530378842,0.3159499927981532,0.3116721072681273
0.0638801423429207,0.0561121764141887,0.0689947955697007,0.0607083891044233,0.1210491315217452,0.1186070181215406,0.0357398141529664,0.0559343433797293,0.0551905153084361
0.0610319178727785,0.0532564032324351,0.0644813101139192,0.0562478342698362,0.0948505482731159,0.0929138113576397,0.0517512508934953,0.0256485230591022,0.0253075412084267
0.0633439657939831,0.0561087522257217,0.053539631358582,0.0454344709503402,0.0706344463078508,0.0691765357283815,0.1319513938527519,0.0088718966636633,0.0087598572705907
0.0456774607771457,0.0378612518832994,0.0490570837315118,0.04100788835364,0.0255967473667849,0.0250148874989309,0.0869192280200142,0.0245645694225589,0.0242207392587018
0.0412207066601979,0.0507944117244214,0.0490570837315118,0.0582657852003372,0.0267700867693797,0.026173450956145,0.0789135096497498,0.0674776277765498,0.0665384037309135
0.0585730190496356,0.0550095877277065,0.0574412353131208,0.0624477676842509,0.0550118160235613,0.0538560879717857,0.1745532523230879,0.1018107562285161,0.1004108069044335
0.0627770530097606,0.0657923572113396,0.0707548142699039,0.06389838224203,0.496012131270928,0.486214775857679,0.1272337383845604,0.5446084120165734,0.5372776730247217
0.0642353166173705,0.0564717162032586,0.0619719084515288,0.0537678609040703,0.0903519453398301,0.0885143365783216,0.105218012866333,0.0207071478221226,0.0204362438247648
0.0540513773248534,0.0462573620052033,0.0534811932376797,0.0453801153697206,0.0619211095033797,0.0606152795271515,0.0923516797712651,0.0667846933289271,0.0658559554818861
0.0456159883065723,0.0561121764141887,0.0534811932376797,0.0618974174304725,0.1137821253697148,0.1114538979444535,0.1901358112937812,0.1174774763863771,0.1158639943864632
0.0622272159118075,0.0561121764141887,0.0591600035750339,0.0509889318448948,0.269531268794297,0.2641518661566818,0.1838456040028591,0.4671347074082131,0.4608295327540995
0.0512577950507804,0.0453225585536216,0.0490570837315118,0.04100788835364,0.1533627187669246,0.1501889777378032,0.1528234453180843,0.0654048800405898,0.0645011923702584
0.0412207066601979,0.0333961101219024,0.0367403903666492,0.0314345117170233,0.1949981727367299,0.1908912523010451,0.1611150822015725,0.0149798413171464,0.0147636729063653
0.0316002650146494,0.0434598000273922,0.0393735433438955,0.0509923290686877,0.0363846084813883,0.0355776309024506,0.2017155110793423,0.0839207632486947,0.0827255582785168
0.0512612101880378,0.052075058211205,0.0591600035750339,0.0595397441211069,0.0392801984280306,0.0384433935166081,0.0651894210150107,0.0282667079601385,0.0278866862910486
0.0598502803827685,0.0656999041227202,0.0678088454689813,0.0672004837646653,0.5560467771029582,0.5450910591059155,0.1228020014295925,0.6475571898004547,0.638821020165798
0.0675548300286159,0.0656999041227202,0.073422342612389,0.071239782849453,0.2893889242534002,0.2836912521072443,0.1017869907076483,0.0417105878393897,0.0411693701112963
0.0716154282240566,0.0716100534173378,0.0796477212570359,0.078917508611962,0.0263855979439261,0.0258332500292395,0.0406004288777698,0.0712013934816582,0.0702811466527411
0.0793370535561805,0.07418846733324,0.0805930438010911,0.0814790153486555,0.3977183370419002,0.3900299703682233,0.0809149392423159,0.2969284664132251,0.2931090324547326
0.0819086519087157,0.0796021093000973,0.0872756148034064,0.0842239721699407,0.3389187412781387,0.332416968939856,0.1139385275196568,0.0802497678323565,0.0792437188158267
0.0846646676729925,0.0989419257635937,0.0927859858510977,0.1025689806290302,0.3424147027857449,0.336025924209437,0.2621872766261615,0.5266409937769988,0.5201503066768115
0.103109823983825,0.1016538830297193,0.1108811781125176,0.103221247596462,0.1463034369912138,0.1436069872876529,0.1492494639027877,0.1854577195362962,0.1832498321006101
0.1037689454739201,0.0961066977126421,0.1018301444452838,0.0931586707342759,0.3478734818391785,0.3413688071286714,0.0979270907791279,0.0116695870551886,0.011547438734691
