SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
0.013456362937331795,,,,0.010695195887695486,0.007659862948354,0.010967512672047113,0.007863116267203542,0.0009610128124216314,0.0006174451752085908
0.01384083044982699,,,,0.010286557961666928,0.008383020347906976,0.008350182044675747,0.009270832640899276,0.0007010156854779148,0.0007824918649333254
0.014225297962322185,,,,0.009727823193312212,0.008450664973593022,0.009262360932115434,0.009232521877966356,0.000517086117456382,0.0007930687349359652
0.014609765474817377,,,,0.009519133129668924,0.009169373038094121,0.009239957535282782,0.009074862621827367,0.000461913977290901,0.000790106577369349
0.014994232987312572,,,,0.009308850627330867,0.008754239273629198,0.0090774543031591,0.00844191695433168,0.00035884312034720645,0.0007333267642429721
0.015378700499807767,,,,0.008906895570845104,0.00841976714090827,0.008411751609897438,0.00830944030708747,0.0003689574724770739,0.0007311346908706155
0.015763168012302962,,,,0.009995029589144264,0.008327776893162433,0.008281820242301376,0.00962756539996342,0.0006359382141776725,0.000896316196771024
0.016147635524798153,,,,0.010670407017984418,0.009591222057249927,0.009630267779907027,0.00963074855760752,0.0005568499647455676,0.0009117488428685623
0.01653210303729335,,,,0.009289695044241606,0.0091550369466113,0.009622163879556292,0.008934945960113454,0.00024001199377014226,0.0008447336786605274
0.016916570549788543,,,,0.008668131667884197,0.008548176129137226,0.008937553348208569,0.00864878805528787,0.000276190595914356,0.0008241208923661658
0.017301038062283735,,,,0.008348082986986978,0.007149030665836757,0.008656877311858548,0.00702827247119744,0.0004096358407463274,0.0006407037853263279
0.01768550557477893,,,,0.008197869421405707,0.0072348419363615435,0.006991566512899746,0.008460495175063207,0.0003447982889280381,0.000827160958091482
0.018069973087274125,,,,0.007998854418686308,0.00730228030148227,0.008255763129498975,0.007102745650202763,0.00024408734644521953,0.0006723988634936631
0.01845444059976932,,,,0.007146959004987413,0.006798986842627428,0.007184099255864997,0.006638837889226714,0.0003214665291228733,0.0006255756762486647
0.018838908112264515,,,,0.00648755089228442,0.006207162420365093,0.006526817724449631,0.006251034722973464,0.00043060252087810034,0.000586975113008939
0.019223375624759707,,,,0.0065536042118034005,0.006211199725382917,0.006254562376421284,0.0059996065287311875,0.00022754363469790507,0.0005647981451797979
0.0196078431372549,,,,0.006694725869548829,0.005148009015390749,0.0060093178197804945,0.006225852114078685,0.00045191363098937937,0.0006036567179190959
0.019992310649750097,,,,0.006749239335187216,0.005801792147088507,0.00622969617803878,0.006951252576377334,0.0003657467516336321,0.0007083098957004813
0.02037677816224529,,,,0.007554159196952981,0.0064874611977982135,0.006874068481257246,0.007513742900320738,0.0005079567435168298,0.0007935761829710054
0.020761245674740483,,,,0.010400402969529793,0.007564864242934013,0.007706922524314836,0.009876128657476254,0.0013679429768295888,0.0011214358076019242
0.02114571318723568,,,,0.01293646858726684,0.009992678781847881,0.009870864692400191,0.01095965522168147,0.0019627933462630118,0.0012830635193796175
0.021530180699730873,,,,0.011793276394805432,0.00923668764687566,0.011172637855238325,0.009553092220958096,0.001347776007684715,0.0011075982257162456
0.02191464821222607,,,,0.010944839139133045,0.009604404071760135,0.009423394343817901,0.010564293004520995,0.0006396556825771693,0.0012614649382257119
0.02229911572472126,,,,0.010395818339453928,0.009770342660945426,0.010562744773717794,0.009584201990793871,0.0004313428473857744,0.0011410328103348463
