timestamp,cum_strategy,cum_hold
2024-07-03 22:30:00,1.0,1.0012218422834365
2024-07-03 22:45:00,1.0,1.0003045219757285
2024-07-03 23:00:00,1.0,0.9996537626851308
2024-07-03 23:15:00,1.0,1.0039758889735169
2024-07-03 23:30:00,1.0,1.0057033211673405
2024-07-03 23:45:00,1.0,1.0025567331359442
2024-07-04 00:00:00,1.0,0.9991481727747432
2024-07-04 00:15:00,1.0,0.9964145666008418
2024-07-04 00:30:00,1.0,0.9964662936213764
2024-07-04 00:45:00,1.0,1.0093204582242457
2024-07-04 01:00:00,1.0,1.0039754718201253
2024-07-04 01:15:00,1.0,1.030687054932202
2024-07-04 01:30:00,1.0,1.0744285080951497
2024-07-04 01:45:00,1.0,1.0677169271807743
2024-07-04 02:00:00,1.0,1.0572046617172737
2024-07-04 02:15:00,1.0,1.0520369655045019
2024-07-04 02:30:00,1.0049858388208426,1.0572822522480756
2024-07-04 02:45:00,1.0061801561843207,1.0585387182629986
2024-07-04 03:00:00,1.0064482035075981,1.058820713955591
2024-07-04 03:15:00,1.0033410750679512,1.055551899980512
2024-07-04 03:30:00,0.999836237360187,1.05186468115385
2024-07-04 03:45:00,1.0004710654142805,1.0525325437334956
2024-07-04 04:00:00,1.0116434047347875,1.0642862576898284
2024-07-04 04:15:00,1.0062606496852458,1.0586234004014545
2024-07-04 04:30:00,1.0051353267511318,1.0574395190766366
2024-07-04 04:45:00,1.0087979793030741,1.0612927649530794
2024-07-04 05:00:00,1.0087979793030741,1.059706747758943
2024-07-04 05:15:00,1.0087979793030741,1.058360593764867
2024-07-04 05:30:00,1.0087979793030741,1.060207748982025
2024-07-04 05:45:00,1.0087979793030741,1.0609590422399522
2024-07-04 06:00:00,1.0087979793030741,1.071404146007436
2024-07-04 06:15:00,1.0087979793030741,1.0592065808426439
2024-07-04 06:30:00,1.0087979793030741,1.0646299920843492
2024-07-04 06:45:00,1.0087979793030741,1.0665484805314378
2024-07-04 07:00:00,1.0087979793030741,1.079309619928023
2024-07-04 07:15:00,1.0087979793030741,1.0772476307142895
2024-07-04 07:30:00,1.0087979793030741,1.088658027429493
2024-07-04 07:45:00,1.0087979793030741,1.0844406066423506
2024-07-04 08:00:00,1.0087979793030741,1.0949144939938416
2024-07-04 08:15:00,1.0087979793030741,1.1112427120403632
2024-07-04 08:30:00,1.0087979793030741,1.1108309816430428
2024-07-04 08:45:00,1.0087979793030741,1.1181086397095599
2024-07-04 09:00:00,1.0087979793030741,1.1170236237385054
2024-07-04 09:15:00,1.0087979793030741,1.1050108575261075
2024-07-04 09:30:00,1.0087979793030741,1.1083472503505947
2024-07-04 09:45:00,1.0087979793030741,1.1153095404532067
2024-07-04 10:00:00,1.0087979793030741,1.1145207033900526
2024-07-04 10:15:00,1.0087979793030741,1.1118897169504378
2024-07-04 10:30:00,1.0087979793030741,1.100069675604871
2024-07-04 10:45:00,1.0087979793030741,1.100671210795282
2024-07-04 11:00:00,1.0087979793030741,1.1071245737603757
2024-07-04 11:15:00,1.0087979793030741,1.1096821412031026
2024-07-04 11:30:00,1.0087979793030741,1.1077657385229709
2024-07-04 11:45:00,1.0087979793030741,1.1142708285085992
2024-07-04 12:00:00,1.0087979793030741,1.1176919034715425
2024-07-04 12:15:00,1.0087979793030741,1.1180172831168411
2024-07-04 12:30:00,1.0087979793030741,1.1292057542278153
2024-07-04 12:45:00,1.0087979793030741,1.1255343872300272
2024-07-04 13:00:00,1.0087979793030741,1.142303119257876
2024-07-04 13:15:00,1.0087979793030741,1.147059502226719
2024-07-04 13:30:00,1.0087979793030741,1.1220290472820196
2024-07-04 13:45:00,1.0087979793030741,1.1275363063553978
2024-07-04 14:00:00,1.0087979793030741,1.138867861079625
2024-07-04 14:15:00,1.0087979793030741,1.127190903347311
2024-07-04 14:30:00,1.0087979793030741,1.1207679925797907
2024-07-04 14:45:00,1.0087979793030741,1.1147939388614259
2024-07-04 15:00:00,1.0087979793030741,1.1181086397095599
2024-07-04 15:15:00,1.0087979793030741,1.1060942048835962
2024-07-04 15:30:00,1.0087979793030741,1.0919948374073718
2024-07-04 15:45:00,1.0087979793030741,1.1035775184732273
2024-07-04 16:00:00,1.0087979793030741,1.1001710438789831
2024-07-04 16:15:00,1.0087979793030741,1.0926622828336254
2024-07-04 16:30:00,1.0087979793030741,1.085128909738175
2024-07-04 16:45:00,1.0087979793030741,1.0915785183227456
2024-07-04 17:00:00,1.0087979793030741,1.0843192150054506
2024-07-04 17:15:00,1.0087979793030741,1.0906974903600903
2024-07-04 17:30:00,1.0087979793030741,1.087823303493284
2024-07-04 17:45:00,1.0087979793030741,1.0965839418662593
2024-07-04 18:00:00,1.0087979793030741,1.0893250557023555
2024-07-04 18:15:00,1.0087979793030741,1.089639172206086
2024-07-04 18:30:00,1.0087979793030741,1.0908268079114267
2024-07-04 18:45:00,1.0087979793030741,1.0851539389416591
2024-07-04 19:00:00,1.0087979793030741,1.0768938846383744
2024-07-04 19:15:00,1.0087979793030741,1.0821295768539458
2024-07-04 19:30:00,1.0087979793030741,1.0860036803999586
2024-07-04 19:45:00,1.0087979793030741,1.0885312127985045
2024-07-04 20:00:00,1.0087979793030741,1.091531379989516
2024-07-04 20:15:00,1.0087979793030741,1.0892666542275578
2024-07-04 20:30:00,1.0087979793030741,1.082859595288911
2024-07-04 20:45:00,1.0087979793030741,1.0778750294149677
2024-07-04 21:00:00,1.0087979793030741,1.0783122061691643
2024-07-04 21:15:00,1.0087979793030741,1.0828345660854268
2024-07-04 21:30:00,1.0087979793030741,1.07722719019811
